ID,Date,ConfirmedCases ,RecoveredCases,DeathCases,ActiveCases
1,06/07/2020,910,524,85,301
2,07/07/2020,940,563,85,292
3,08/07/2020,955,565,86,304
4,09/07/2020,971,567,88,316
5,11/07/2020,1000,571,87,342
6,13/07/2020,1044,589,89,366
7,14/07/2020,1101,619,90,392
8,15/07/2020,1144,646,93,405
9,16/07/2020,1157,655,93,409
10,17/07/2020,1189,660,93,436
11,18/07/2020,1212,661,94,457
12,19/07/2020,1286,675,97,514
13,20/07/2020,1327,677,97,553
14,21/07/2020,1359,679,97,583
15,22/07/2020,1391,688,100,603
16,23/07/2020,1423,701,101,621
17,24/07/2020,1443,705,103,635
18,25/07/2020,1491,725,107,659
19,26/07/2020,1521,726,109,686
20,27/07/2020,1570,735,110,725
21,28/07/2020,1614,741,111,762
22,29/07/2020,1670,741,111,818
23,30/07/2020,1763,757,115,891
24,31/07/2020,1804,770,119,915
25,01/08/2020,1826,783,119,924
26,02/08/2020,1898,806,124,968
27,03/08/2020,1964,807,124,1033
28,04/08/2020,2025,813,125,1087
29,05/08/2020,2077,830,128,1119
30,06/08/2020,2122,854,129,1139
31,07/08/2020,2194,868,129,1197
32,08/08/2020,2231,868,129,1234
33,09/08/2020,2335,900,132,1303
34,10/08/2020,2385,926,136,1323
35,11/08/2020,2416,929,136,1351
36,12/08/2020,2486,961,137,1388
37,13/08/2020,2552,964,138,1450
38,14/08/2020,2617,991,139,1487
39,15/08/2020,2781,1006,139,1636
40,16/08/2020,2857,1139,150,1568
41,17/08/2020,2908,1139,150,1619
42,18/08/2020,3057,1158,152,1747
43,19/08/2020,3115,1307,153,1655
44,20/08/2020,3131,1308,154,1669
45,21/08/2020,3183,1350,158,1675
46,22/08/2020,3319,1385,164,1770
47,23/08/2020,3390,1401,164,1825
48,24/08/2020,3470,1489,167,1814
49,25/08/2020,3516,1628,169,1719
50,26/08/2020,3671,1739,173,1759
51,27/08/2020,4021,1825,173,2023
52,28/08/2020,4045,1873,175,1997
53,29/08/2020,4196,1934,175,2087
54,30/08/2020,4366,1984,178,2204
55,31/08/2020,4472,2007,181,2284
56,01/09/2020,4516,2214,188,2114
57,02/09/2020,4578,2294,193,2091
58,04/09/2020,4717,2852,220,1645
59,05/09/2020,4859,2901,223,1735
60,06/09/2020,4895,2924,224,1747
61,08/09/2020,4995,3245,233,1517
62,09/09/2020,5074,3359,234,1481
63,10/09/2020,5149,3424,234,1491
64,12/09/2020,5377,3555,239,1583
65,13/09/2020,5448,3592,239,1617
66,14/09/2020,5503,3884,242,1377
67,15/09/2020,5649,4071,247,1331
68,17/09/2020,5845,4295,254,1296
