Date,ConfirmedCases ,RecoveredCases,DeathCases,ActiveCases,,ConfirmedCases^2,x_confirmed_y_death,y_DeathCases^2,〖[y_i-(β_0+ β_1 x_i)]〗^2,〖(y_i-y_mean)〗^2,,,
"Tuesday, 24 March 2020",26,0,2,24,,676,52,4,7438.080059,107927.8934,,n,315
"Thursday, 26 March 2020",33,3,3,27,,1089,99,9,7299.030704,107271.8458,,Σx,2819014
"Monday, 30 March 2020",41,8,7,26,,1681,287,49,6666.979989,104667.6553,,Σy,104115
"Friday, 3 April 2020",105,13,15,77,,11025,1575,225,5683.542298,99555.27438,,Σ(xy),1443596140
"Tuesday, 7 April 2020",140,28,22,90,,19600,3080,484,4807.976485,95186.94104,,Σ(x^2),44079514838
"Wednesday, 8 April 2020",147,31,25,91,,21609,3675,625,4426.192216,93344.79819,,Σ(y^2),48711279
"Sunday, 12 April 2020",190,35,27,128,,36100,5130,729,4316.115248,92126.70295,,(Σx)^2,7946839932196
"Tuesday, 14 April 2020",205,45,37,123,,42025,7585,1369,3147.705968,86156.22676,,(Σy)^2,10839933225
"Tuesday, 21 April 2020",266,57,48,161,,70756,12768,2304,2186.559395,79819.70295,,x_mean,8949.250794
"Wednesday, 22 April 2020",269,63,49,157,,72361,13181,2401,2101.499528,79255.65533,,y_mean,330.5238095
"Thursday, 23 April 2020",274,63,49,162,,75076,13426,2401,2113.964773,79255.65533,,,
"Friday, 24 April 2020",275,68,52,155,,75625,14300,2704,1849.4321,77575.51247,,slope (a),0.027151484
"Saturday, 25 April 2020",279,76,54,149,,77841,15066,2916,1690.330577,76465.41723,,y-intercept (b),87.53836591
"Monday, 27 April 2020",305,79,55,171,,93025,16775,3025,1666.237185,75913.36961,,R-score,0.985862378
"Tuesday, 28 April 2020",316,79,56,181,,99856,17696,3136,1609.472778,75363.322,,R^2-score,0.971924629
"Wednesday, 29 April 2020",320,83,57,180,,102400,18240,3249,1538.745049,74815.27438,,,
"Thursday, 30 April 2020",325,83,58,184,,105625,18850,3364,1471.688952,74269.22676,,,
"Friday, 1 May 2020",330,93,58,179,,108900,19140,3364,1482.123397,74269.22676,,SSE,401443.9098
"Monday, 4 May 2020",347,100,60,187,,120409,20820,3600,1366.0365,73183.13152,,SST,14298792.57
"Tuesday, 5 May 2020",357,101,60,196,,127449,21420,3600,1386.18056,73183.13152,,SSR,13897348.66
"Wednesday, 6 May 2020",369,102,61,206,,136161,22509,3721,1336.433526,72643.0839,,,
"Thursday, 7 May 2020",376,103,61,212,,141376,22936,3721,1350.365825,72643.0839,,,
"Friday, 8 May 2020",381,115,63,203,,145161,24003,3969,1216.829373,71568.98866,,,
"Saturday, 9 May 2020",402,122,63,217,,161604,25326,3969,1256.933832,71568.98866,,,
